"Schema版本","ID","符号种类","规范名称","别名","语法","类别","值类型","所需上下文","当前实现","兼容状态","已知差异或实施结论","安全等级","来源","附件出现","真实语料次数","翎风说明","测试编号","说明书页面","负责人","最后复核日期","版本","无上下文结果","可用脚本入口","触发时点"
"1","LFENV-SYMBOL-0001","附件原文","AC","","<$AC>","人物","Integer","玩家对象","LingFengP0ServerSymbols + ScriptTextRenderer","B","已通过 LFENV-05 P0 Adapter、统一 Renderer、真实 NPC/条件动作/系统触发/ScriptApi 入口与旧分支回归测试。","普通","用户附件:翎风服务器常量","是","0","防御力","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
"1","LFENV-SYMBOL-0002","附件原文","ADDMAXBW","","<$ADDMAXBW>","人物","Integer","玩家对象","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","背包最大负重","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
"1","LFENV-SYMBOL-0003","附件原文","ANTIMAGIC","","<$ANTIMAGIC>","人物","String","玩家对象","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","魔法躲避","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
"1","LFENV-SYMBOL-0004","附件原文","ANTIPOISON","","<$ANTIPOISON>","人物","String","玩家对象","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","毒躲避","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（按契约显示为空或 0，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","玩家脚本上下文有效期间"
"1","LFENV-SYMBOL-0005","附件原文","ARMRING_L","BRACELET_L","<$ARMRING_L>","物品事件","String","玩家对象与物品事件上下文","LingFengP0ServerSymbols + ScriptTextRenderer","B","已通过 LFENV-05 P0 Adapter、统一 Renderer、真实 NPC/条件动作/系统触发/ScriptApi 入口与旧分支回归测试。","普通","用户附件:翎风服务器常量","是","0","右手镯","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变物品事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0006","附件原文","ARMRING_R","BRACELET_R","<$ARMRING_R>","物品事件","String","玩家对象与物品事件上下文","LingFengP0ServerSymbols + ScriptTextRenderer","B","已通过 LFENV-05 P0 Adapter、统一 Renderer、真实 NPC/条件动作/系统触发/ScriptApi 入口与旧分支回归测试。","普通","用户附件:翎风服务器常量","是","0","左手镯","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变物品事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0007","附件原文","ATTACKMONPOWERRATE","","<$ATTACKMONPOWERRATE>","战斗事件","Integer","玩家对象与战斗事件上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","人物攻击怪物伤害力倍数","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变战斗事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0008","附件原文","ATTACKMONPOWERRATETIME","","<$ATTACKMONPOWERRATETIME>","战斗事件","Integer","玩家对象与战斗事件上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","人物攻击怪物伤害倍数剩余时间","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变战斗事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0009","附件原文","ATTACKMONSTER_HP","","<$ATTACKMONSTER_HP>","战斗事件","Integer","玩家对象与战斗事件上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","当前攻击目标剩余血量","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变战斗事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0010","附件原文","ATTACKMONSTER_HPEX","","<$ATTACKMONSTER_HPEX>","战斗事件","String","玩家对象与战斗事件上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","当前攻击(主目标)目标剩余血量","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变战斗事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0011","附件原文","ATTACKMONSTER_MAXHP","","<$ATTACKMONSTER_MAXHP>","战斗事件","Integer","玩家对象与战斗事件上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","当前攻击目标总血量","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变战斗事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0012","附件原文","ATTACKMONSTER_MAXHPEX","","<$ATTACKMONSTER_MAXHPEX>","战斗事件","Integer","玩家对象与战斗事件上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","当前攻击(主目标)目标总血量","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变战斗事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0013","附件原文","ATTACKMONSTER_NAME","","<$ATTACKMONSTER_NAME>","战斗事件","String","玩家对象与战斗事件上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","当前击中目标的名称","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变战斗事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0014","附件原文","ATTACKMONSTER_NAMEEX","","<$ATTACKMONSTER_NAMEEX>","战斗事件","String","玩家对象与战斗事件上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","当前锁定攻击(主目标)目标的名称","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变战斗事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0015","附件原文","ATTACKMONSTER_X","","<$ATTACKMONSTER_X>","战斗事件","String","玩家对象与战斗事件上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","当前攻击目标X坐标","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变战斗事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0016","附件原文","ATTACKMONSTER_XEX","","<$ATTACKMONSTER_XEX>","战斗事件","String","玩家对象与战斗事件上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","当前攻击(主目标)目标X坐标","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变战斗事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0017","附件原文","ATTACKMONSTER_Y","","<$ATTACKMONSTER_Y>","战斗事件","String","玩家对象与战斗事件上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","当前攻击目标Y坐标","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变战斗事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0018","附件原文","ATTACKMONSTER_YEX","","<$ATTACKMONSTER_YEX>","战斗事件","String","玩家对象与战斗事件上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","当前攻击(主目标)目标Y坐标","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变战斗事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0019","附件原文","ATTACKSPEED","","<$ATTACKSPEED>","战斗事件","String","玩家对象与战斗事件上下文","未实现（LFENV 后续阶段）","D","真实语料或附件已登记，等待对应 LFENV Adapter 实现与契约测试。","普通","用户附件:翎风服务器常量","是","0","攻速（含脚本加速）","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","ContextUnavailable（显示为空，预检保留诊断）","NPC 对话、#IF/#ACT 文本参数、系统与事件触发页","对应不可变战斗事件 DTO 生命周期内"
"1","LFENV-SYMBOL-0020","附件原文","BANKACCOUNT0","","<$BANKACCOUNT0>","运营配置","String","公开运营配置","未实现（公开运营配置 Adapter 待 LFENV-08）","D","仅允许读取专门的公开运营配置；缺失时返回空字符串并记录 ConfigMissing。","敏感","用户附件:翎风服务器常量","是","0","银行帐号信息","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","空字符串并记录 ConfigMissing","NPC 对话显示与文本参数","脚本执行期间读取已发布运营配置快照"
"1","LFENV-SYMBOL-0021","附件原文","BANKACCOUNT1","","<$BANKACCOUNT1>","运营配置","String","公开运营配置","未实现（公开运营配置 Adapter 待 LFENV-08）","D","仅允许读取专门的公开运营配置；缺失时返回空字符串并记录 ConfigMissing。","敏感","用户附件:翎风服务器常量","是","0","银行帐号信息","LFENV-CATALOG-001","Docs/design/scripting/翎风服务器常量与整服Envir直接运行实施规格.md","LFENV","2026-08-16","LFENV-2026-08-16-baseline","空字符串并记录 ConfigMissing","NPC 对话显示与文本参数","脚本执行期间读取已发布运营配置快照"
